platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-merago-software-technologies-private,Merago Software Technologies Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-meta16labs-healthcare-and-analytics-pvt,Meta16Labs Healthcare and Analytics Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-mindzone-technologies-pvt,Mindzone Technologies Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ministry-of-ayush-government-of-india,"Ministry of Ayush, Government of India",HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-myhealthcare-technologies-private,MyHealthcare Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-nalam-hcit-solutions-pvt,NALAM HCIT SOLUTIONS PVT LTD.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-nextgen-esolutions-pvt-ltd-subsidiary-company-of-aimil,NEXTGEN ESOLUTIONS PVT LTD SUBSIDIARY COMPANY OF AIMIL LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-nextgen-esolutions-pvt-ltd-subsidiary-company-of-aimil,NEXTGEN ESOLUTIONS PVT LTD SUBSIDIARY COMPANY OF AIMIL LIMITED,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-nict-bills-and-services,NICT Bills and Services,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-nanocare-health-services-pvt-ltd-nanohealth,Nanocare Health Services Pvt Ltd. (NanoHealth),HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-narayana-health,Narayana Health Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-health-mission-shs-nagrota-jammu-j-k,"National Health Mission, SHS, Nagrota, Jammu, J&K",HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-informatics-centre,National Informatics Centre,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-netedge-computing-solutions-pvt,NetEdge Computing Solutions Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-neuralbits-technologies-pvt,Neuralbits Technologies Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-neurosynaptic-communications-pvt,Neurosynaptic Communications Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-oasys-cybernetics-pvt,OASYS Cybernetics Pvt. Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ohum-healthcare-solutions-pvt,OHUM Healthcare Solutions Pvt. Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-oakland-systems-pvt,Oakland Systems Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-oakland-systems-pvt,Oakland Systems Pvt Ltd,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-oneglance-software-services-private,Oneglance Software Services Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-oneglance-software-services-private,Oneglance Software Services Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-pace-softronix-pvt,PACE SOFTRONIX PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-peritos-solutions-consulting-private,PERITOS SOLUTIONS & CONSULTING PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-purple-sky-health-private,PURPLE SKY HEALTH PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-paliwal-infotech,Paliwal Infotech,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-paliwal-infotech,Paliwal Infotech,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-perfect-software-solution,Perfect Software Solution,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-picasoid-health-technology-pvt,Picasoid Health Technology Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-piramal-swasthya-management-and-research-institute,Piramal Swasthya Management and Research Institute,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-plus-curenearme,Plus CureNearMe,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-postgraduate-institute-of-medical-education-and-research,Postgraduate Institute of Medical Education and Research,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-pranam-creative-solutions-pvt,Pranam Creative Solutions Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-prantae-solutions-private,Prantae Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-pregnancy-child-tracking-health-services-management-system-p,"Pregnancy, Child Tracking & Health Services Management System (PCTS)",HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-probeplus-innovative-solutions-private,Probeplus Innovative Solutions Private Limited.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-protean-health,Protean Health,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-prudas-technologies-private,Prudas Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-prudas-technologies-private,Prudas Technologies Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-prudas-technologies-private,Prudas Technologies Private Limited,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-purnank-software-solutions-pvt,Purnank Software Solutions Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-qmarksoft-qhms-qlms-qbilling,Qmarksoft QHMS/QLMS/Qbilling,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-quantum-corphealth-private,Quantum CorpHealth Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-renaissance-health-enterprise-suite-rhes,RENAISSANCE HEALTH ENTERPRISE SUITE (RHES),HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-rvs-healthcare-pvt,RVS Healthcare Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-rajasthan-government-health-scheme,Rajasthan Government Health Scheme,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ramalogy-private,Ramalogy Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-raxa-health,Raxa Health,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-raxa-health,Raxa Health,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-raxa-health,Raxa Health,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-raxa-health,Raxa Health,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-rely-technologies-private,Rely Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-rescribe-by-scorg-technologies-pvt,Rescribe by Scorg Technologies Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-rigved-technologies-pvt,Rigved Technologies Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-s2-infotech-international,S2 Infotech International Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sanharabs-india-pvt,SANHARABS INDIA PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-satra-services-and-solutions-private,SATRA Services and Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sirobilt-software-services-private,SIROBILT SOFTWARE SERVICES PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-softcure-technology,SOFTCURE TECHNOLOGY LLP,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-softman-software-system,SOFTMAN SOFTWARE SYSTEM,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sri-laxmi-kravia-techlabs-private,SRI LAXMI KRAVIA TECHLABS PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sri-laxmi-kravia-techlabs-private,SRI LAXMI KRAVIA TECHLABS PRIVATE LIMITED,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-suja-associates-private,SUJA Associates Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sunil-medico-softwares,SUNIL MEDICO SOFTWARES,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-scisco-it-solutions-pvt,Scisco IT Solutions Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sher-i-kashmir-institute-of-medical-sciences,Sher-I-Kashmir Institute of Medical Sciences,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-shivam-medisoft-private,Shivam Medisoft Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-shrimad-rajchandra-hospital-and-research-centre,Shrimad Rajchandra Hospital and Research Centre,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-skearth-healthcare-pvt,Skearth Healthcare Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-skearth-healthcare-pvt,Skearth Healthcare Pvt. Ltd.,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-skearth-healthcare-pvt,Skearth Healthcare Pvt. Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-skearth-healthcare-pvt,Skearth Healthcare Pvt. Ltd.,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-smarthms-solutions-pvt,SmartHMS & Solutions Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-smarthms-solutions-pvt,SmartHMS & Solutions Pvt. Ltd.,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-smarthms-solutions-pvt,SmartHMS & Solutions Pvt. Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-society-of-education-welfare-action-rural,Society of Education Welfare Action Rural,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sofscript-systems-services,Sofscript Systems & Services Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-softcane-solutions-pvt,Softcane Solutions Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sri-ramakrishna-hospital,Sri Ramakrishna Hospital,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-suvarna-arogya-suraksha-trust,Suvarna Arogya Suraksha Trust,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-suvarna-technosoft-pvt,Suvarna Technosoft Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-suvarna-technosoft-pvt,Suvarna Technosoft Pvt. Ltd.,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-suvarna-technosoft-pvt,Suvarna Technosoft Pvt. Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-swasthya-ingit,Swasthya Ingit,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-swingbell-labs,SwingBell Labs,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-symbiosis-university-hospital-and-research-centre,Symbiosis University Hospital and Research Centre,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-telerad-tech-private,TELERAD TECH Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tirupati-software-infotech-pvt,TIRUPATI SOFTWARE INFOTECH PVT. LTD.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-trrev-technology-opc-private,TRRev Technology (OPC) Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tata-medical-and-diagnostics,Tata Medical and Diagnostics,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tattva-foundation,Tattva Foundation,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-techsmith-solutions-pvt,TechSmith Solutions Pvt. Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tecnospice-tecnologies-pvt,Tecnospice Tecnologies Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tenwave-infotech-pvt,Tenwave Infotech Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-the-gemini-india,The Gemini India,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-third-ai-platforms-private,Third Ai Platforms Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-thoughtworks,Thoughtworks,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-timestream-technologies-private,Timestream Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-tricog-health-india-private,Tricog Health India Private limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-triotree-technologies-pvt,TrioTree Technologies Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-unidoc-healthcare-private,UNIDOC Healthcare Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-unnati-digital-solutions-private,UNNATI DIGITAL SOLUTIONS PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-unify-digital,Unify Digital LLP,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vibe-it,VIBE IT SOLUTIONS,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vitalic-health,VITALIC HEALTH LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vanburen-technlogies-private,Vanburen Technlogies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vesak-technologies-private,Vesak Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vigorus-ai-private,Vigorus AI Private Limited,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vigorus-ai-private,Vigorus AI Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vigorus-ai-private,Vigorus AI Private Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-visual-infosoft-pvt,Visual InfoSoft Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-vitalytics-professional-services-private,Vitalytics Professional Services Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-wisdomleaf-technologies-private,Wisdomleaf Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-zebricon,ZEBRICON TECHNOLOGIES,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-eclinical-india-pvt,eClinical India Pvt Ltd.,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-eclinical-india-pvt,eClinical India Pvt Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-eclinical-india-pvt,eClinical India Pvt Ltd.,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-eclinical-india-pvt,eClinical India Pvt Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-evaidya-private,eVaidya Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-e-raktkosh-bbms,e-Raktkosh / BBMS,Blood Bank,unknown,none-documented,ui-automation,P3,India
IN-intersystems-trakcare,InterSystems TrakCare,HMIS,unknown,none-documented,ui-automation,P3,USA/Global
IN-radspa-ris-pacs,RADSpa RIS-PACS,RIS/PACS,unknown,none-documented,ui-automation,P3,India
IN-abdm-and-nhm-ladakh,ABDM and NHM Ladakh,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-central-tb-division-mohfw,"Central TB Division, MoHFW",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-central-tb-division-mohfw,"Central TB Division, MoHFW",Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-commissioner-of-health-family-welfare-telangana,"Commissioner of Health & Family Welfare, Telangana",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-commissioner-of-health-family-welfare-telangana,"Commissioner of Health & Family Welfare, Telangana",LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-cowin,Cowin,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-cowin,Cowin,Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-department-of-health-and-family-welfare-assam,"Department of health and family welfare, Assam",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-department-of-health-and-family-welfare-manipur,"Department of health and family welfare, Manipur",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-department-of-health-and-family-welfare-meghalaya,"Department of health and family welfare, Meghalaya",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-department-of-health-and-family-welfare-nagaland,"Department of health and family welfare, Nagaland",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-department-of-health-and-family-welfare-sikkim,"Department of health and family welfare, Sikkim",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-government-of-gujarat,Government Of Gujarat,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-government-of-uttar-pradesh,Government Of Uttar Pradesh,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-government-of-rajasthan-chip,Government of Rajasthan - CHIP,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-hfws-karnataka-samasta,HFWS Karnataka (SAMASTA),Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-health-department-dnh-dd,Health Department DNH & DD,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-health-department-dnh-dd,Health Department DNH & DD,Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medplat-ddd-phmp,MEDplat DDD-PHMP,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ncd-india,NCD India,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ncd-india,NCD India,Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-health-authority,National Health Authority,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-health-authority,National Health Authority,Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-health-mission-andhra-pradesh,"National Health Mission, Andhra Pradesh",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-health-mission-andhra-pradesh,"National Health Mission, Andhra Pradesh",Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-viral-hepatitis-control-program-nvhcp,National Viral Hepatitis Control Program (NVHCP),Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-national-viral-hepatitis-control-program-nvhcp,National Viral Hepatitis Control Program (NVHCP),Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-pune-smart-city-development-corporation,Pune Smart City Development Corporation Limited,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-swasthya-sathi-samiti-health-and-family-welfare-dept-govt-of,"Swasthya Sathi Samiti, Health and Family Welfare dept., Govt. of West Bengal",Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-swasthya-sathi-samiti-health-and-family-welfare-dept-govt-of,"Swasthya Sathi Samiti, Health and Family Welfare dept., Govt. of West Bengal",Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-uttarakhand-health-and-family-welfare-society,Uttarakhand Health and Family Welfare Society,Government Programs,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-uttarakhand-health-and-family-welfare-society,Uttarakhand Health and Family Welfare Society,Others,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-agilus-diagnostics,Agilus Diagnostics Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-blue-pearl-health-tech-pvt,Blue Pearl Health Tech Pvt Ltd,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-busysoft-systems-private,Busysoft Systems Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-csc-healthcare-wellness-services,CSC Healthcare & Wellness Services Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-dr-lal-pathlabs,Dr Lal PathLabs,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-ezerx-health-tech-pvt,EzeRx Health Tech Pvt. Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-hscc-india,HSCC (INDIA) LIMITED,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-hindustan-wellness-pvt,Hindustan Wellness Pvt. Ltd,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-isiri-technologies-pvt,ISIRI Technologies Pvt Ltd,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-krsnaa-diagnostics,Krsnaa Diagnostics Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-livehealth,Livehealth,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-mediquity-technologies-pvt-ltd-sharp-lims,MEDIQUITY TECHNOLOGIES PVT. LTD (SHARP LIMS),LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-pathkind-diagnostics-private,PATHKIND DIAGNOSTICS PRIVATE LIMITED,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-remidio-innovative-solutions-pvt,Remidio Innovative Solutions Pvt Ltd,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-softmed-technologies,Softmed Technologies LLP,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sufalam-solutions-pvt,Sufalam Solutions Pvt. Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-sunfox-technologies-private,Sunfox Technologies Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-wrig-nanosystems-private,Wrig Nanosystems Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-zealthix-technologies-private,Zealthix Technologies Private Limited,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-zealthix-technologies-private,Zealthix Technologies Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-zealthix-technologies-private,Zealthix Technologies Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-epic,Epic,EMR,unknown,none-documented,ui-automation,P3,USA/Global
IN-oracle-health-cerner,Oracle Health (Cerner),EMR,unknown,none-documented,ui-automation,P3,USA/Global
IN-abym-technology-private,Abym Technology Private Limited,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-driefcase-health-tech-pvt,Driefcase Health Tech Pvt Ltd,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-driefcase-health-tech-pvt,Driefcase Health Tech Pvt Ltd,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-driefcase-health-tech-pvt,Driefcase Health Tech Pvt Ltd,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healthica-digisol-private,Healthica Digisol Private Limited,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healthica-digisol-private,Healthica Digisol Private Limited,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-healthica-digisol-private,Healthica Digisol Private Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-quality-healthcare-access-private,QUALITY HEALTHCARE ACCESS PRIVATE LIMITED,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-abi-health-technologies-private,ABI-Health Technologies Private Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-abi-health-technologies-private,ABI-Health Technologies Private Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-acko-general-insurance,Acko General Insurance Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-aditya-birla-health-insurance-company,Aditya Birla Health Insurance Company Ltd.,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-aditya-birla-health-insurance-company,Aditya Birla Health Insurance Company Ltd.,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-aditya-birla-health-insurance-company,Aditya Birla Health Insurance Company Ltd.,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-bajaj-general-insurance,Bajaj General Insurance Limited,Insurance,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-bajaj-general-insurance,Bajaj General Insurance Limited,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-chola-ms-general-insurance-co,Chola MS General Insurance Co Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
