platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-connection-loops-pvt,Connection Loops Pvt Ltd.,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-a-hmis,A-HMIS,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-aciana-health-technologies-india-private,ACIANA HEALTH TECHNOLOGIES INDIA PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-acutech-solutions-private,ACUTECH SOLUTIONS PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-aireach-medtech-private,AIREACH MedTech Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-apleixa-technologies-private,APLEIXA TECHNOLOGIES PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-arinsta-private,ARINSTA PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-arinsta-private,ARINSTA PRIVATE LIMITED,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-arinsta-private,ARINSTA PRIVATE LIMITED,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-axonic-health-private,AXONIC HEALTH PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-akhil-systems-pvt,Akhil Systems Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-algoflow-ai-private,Algoflow AI Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-amrita,Amrita Technologies,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-aosta-india-private,Aosta India Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-apollo-hospital,Apollo hospital,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-argusoft-india,ArguSoft India Limited,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-argusoft-india,ArguSoft India Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-artem-healthtech-private,Artem HealthTech Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
